GAME_ID,GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,FG_PCT_home,FG_PCT_away,FT_PCT_home,FT_PCT_away,FG3_PCT_home,FG3_PCT_away,AST_home,AST_away,REB_home,REB_away,HOME_TEAM_WINS
0021800002,2018-10-16,2018,1610612744,1610612760,108,100,0.442,0.363,0.944,0.649,0.269,0.27,28,21,58,45,1
0021800001,2018-10-16,2018,1610612738,1610612755,105,87,0.433,0.391,0.714,0.609,0.297,0.192,21,18,55,47,1
0021800009,2018-10-17,2018,1610612745,1610612740,112,131,0.424,0.531,0.75,0.773,0.333,0.4,21,36,37,54,0
0021800012,2018-10-17,2018,1610612746,1610612743,98,107,0.398,0.379,0.833,0.786,0.286,0.333,21,20,47,56,0
0021800013,2018-10-17,2018,1610612756,1610612742,121,100,0.543,0.432,0.875,0.7,0.559,0.303,35,28,44,38,1
0021800008,2018-10-17,2018,1610612761,1610612739,116,104,0.489,0.4,0.6,0.744,0.424,0.368,21,17,43,49,1
0021800004,2018-10-17,2018,1610612765,1610612751,103,100,0.424,0.488,0.864,0.682,0.25,0.185,21,28,46,39,1
0021800003,2018-10-17,2018,1610612766,1610612749,112,113,0.446,0.494,0.636,0.75,0.421,0.412,21,26,41,57,0
0021800007,2018-10-17,2018,1610612752,1610612737,126,107,0.455,0.456,0.774,0.833,0.364,0.278,21,19,46,45,1
0021800005,2018-10-17,2018,1610612754,1610612763,111,83,0.566,0.298,0.538,0.821,0.385,0.345,29,16,57,28,1
0021800011,2018-10-17,2018,1610612758,1610612762,117,123,0.516,0.519,0.667,0.737,0.368,0.481,17,21,37,44,0
0021800010,2018-10-17,2018,1610612759,1610612750,112,108,0.43,0.429,0.724,0.889,0.44,0.316,22,20,52,46,1
0021800006,2018-10-17,2018,1610612753,1610612748,104,101,0.415,0.392,0.613,0.727,0.28,0.273,20,16,51,52,1
0021800016,2018-10-18,2018,1610612757,1610612747,128,119,0.44,0.484,0.931,0.759,0.351,0.233,21,23,54,46,1
0021800015,2018-10-18,2018,1610612764,1610612748,112,113,0.469,0.392,0.744,0.735,0.269,0.343,19,25,40,55,0
0021800014,2018-10-18,2018,1610612755,1610612741,127,108,0.473,0.436,0.9,0.75,0.333,0.333,30,28,55,39,1
0021800025,2018-10-19,2018,1610612746,1610612760,108,92,0.432,0.358,0.75,0.739,0.423,0.212,21,18,48,52,1
0021800021,2018-10-19,2018,1610612750,1610612739,131,123,0.506,0.484,0.943,0.862,0.4,0.348,28,26,40,43,1
0021800018,2018-10-19,2018,1610612751,1610612752,107,105,0.493,0.402,0.875,0.9,0.4,0.321,22,14,55,36,1
0021800022,2018-10-19,2018,1610612740,1610612758,149,129,0.589,0.521,0.636,0.731,0.516,0.4,35,24,52,39,1
0021800024,2018-10-19,2018,1610612762,1610612744,123,124,0.449,0.563,0.828,0.889,0.413,0.526,24,27,38,43,0
0021800020,2018-10-19,2018,1610612763,1610612737,131,117,0.543,0.494,0.698,0.583,0.5,0.467,32,27,41,40,1
0021800023,2018-10-19,2018,1610612749,1610612754,118,101,0.473,0.437,0.619,0.704,0.37,0.333,27,14,50,41,1
0021800017,2018-10-19,2018,1610612753,1610612766,88,120,0.383,0.467,0.714,0.85,0.194,0.447,18,32,44,55,0
0021800019,2018-10-19,2018,1610612761,1610612738,113,101,0.467,0.404,0.737,0.7,0.371,0.389,24,29,49,49,1
